,day,true,predict,time_1,time_2,time_3,mse,mad
468,2022-02-14,836.69,370.8772707472323,0,1,0,216981.49873391233,465.8127292527678
469,2022-02-14,515.87,348.09207515576014,0,0,1,28149.4320650394,167.77792484423986
470,2022-02-15,305.88,293.9066700423061,1,0,0,143.3606302758107,11.97332995769392
471,2022-02-15,843.12,690.4670525523718,0,1,0,23302.92236444834,152.6529474476282
472,2022-02-16,309.68,291.8596011735463,1,0,0,317.56661433387234,17.820398826453697
473,2022-02-16,797.3199999999999,706.0478053945237,0,1,0,8330.613508099921,91.27219460547622
474,2022-02-16,552.5,531.6146422510155,0,0,1,436.1981683030653,20.88535774898446
475,2022-02-17,306.5,310.5186372113645,1,0,0,16.149445036563268,4.018637211364478
476,2022-02-17,735.4300000000001,709.2383874807307,0,1,0,686.000566359548,26.19161251926937
477,2022-02-17,535.07,514.6523478536484,0,0,1,416.8805191694184,20.417652146351656
478,2022-02-18,293.18,290.25049069512784,1,0,0,8.582024767332623,2.9295093048721697
479,2022-02-18,867.13,669.2122922839278,0,1,0,39171.41902758458,197.9177077160722
480,2022-02-18,516.4399999999999,547.2927684600788,0,0,1,951.8933216512388,30.85276846007889
481,2022-02-19,287.0,157.42266195211946,1,0,0,16790.286535574713,129.57733804788054
482,2022-02-19,559.0,487.44005169413157,0,1,0,5120.826201538563,71.55994830586843
483,2022-02-19,367.56,299.91432981313585,0,0,1,4575.936695030002,67.64567018686415
484,2022-02-20,278.81,77.5902767164553,1,0,0,40489.377038306295,201.21972328354468
485,2022-02-20,327.0,149.81232028438686,0,1,0,31395.473843002706,177.18767971561314
486,2022-02-20,295.19,215.37228209204514,0,0,1,6370.8680920338575,79.81771790795486
487,2022-02-21,296.12,201.86451266450072,1,0,0,8884.096892852465,94.25548733549928
488,2022-02-21,861.5699999999999,466.49795699445616,0,1,0,156081.91916457424,395.0720430055438
489,2022-02-21,536.5,479.1648410097221,0,0,1,3287.320456440442,57.335158990277876
490,2022-02-22,296.81,268.7237223949098,1,0,0,788.8389897101898,28.086277605090174
491,2022-02-22,855.06,568.8598159458767,0,1,0,81910.54535261403,286.20018405412327
492,2022-02-22,602.06,486.02879429770206,0,0,1,13463.240696728964,116.03120570229788
493,2022-02-23,306.63,252.80750917459602,1,0,0,2896.860518650695,53.822490825403975
494,2022-02-23,824.56,444.62544864872694,0,1,0,144350.2633104931,379.934551351273
495,2022-02-23,542.63,411.9145504962482,0,0,1,17086.52873896789,130.7154495037518
496,2022-02-24,298.68,224.32393752198988,1,0,0,5528.824027233746,74.35606247801013
497,2022-02-24,823.44,467.42338651632963,0,1,0,126747.82907638118,356.0166134836704
